,COUNTRY,YEAR,AVG,FAVG,MAVG,GBIRTHRT,GDEATHRT,GROW,GDP
61,Belgium,2018,11427054.0,5797532.0,5629522.0,10.4,9.7,56930.0,460050.8
62,Belgium,2019,11488980.0,5825954.0,5663026.0,10.2,9.5,66921.0,478676.1
63,Belgium,2020,11538604.0,5847754.0,5690850.0,9.9,11.0,32327.0,459827.4
64,Belgium,2021,11586195.0,5869136.0,5717060.0,10.2,9.7,62856.0,502521.1
65,Belgium,2022,11685814.0,,,9.8,10.0,136381.0,549456.2
66,Bosnia and Herzegovina,2001,3801442.0,1938736.0,1862707.0,9.9,8.0,23450.0,6482.2
67,Bosnia and Herzegovina,2002,3821758.0,1949097.0,1872662.0,9.5,8.1,17182.0,7149.1
68,Bosnia and Herzegovina,2003,3833882.0,1955280.0,1878602.0,9.2,8.3,7065.0,7530.3
69,Bosnia and Herzegovina,2004,3839973.0,1958387.0,1881587.0,8.9,8.3,5118.0,8179.7
70,Bosnia and Herzegovina,2005,3842591.0,1959722.0,1882870.0,9.0,9.0,118.0,9024.5
71,Bosnia and Herzegovina,2006,3843334.0,1960101.0,1883233.0,8.9,8.6,1367.0,10255.1
72,Bosnia and Herzegovina,2007,3843932.0,1960405.0,1883527.0,8.8,9.1,-171.0,11528.5
73,Bosnia and Herzegovina,2008,3843922.0,1963174.0,1880749.0,8.9,8.9,152.0,13047.8
74,Bosnia and Herzegovina,2009,3844022.0,1965999.0,1878024.0,9.0,9.1,48.0,12679.3
75,Bosnia and Herzegovina,2010,3843615.0,1965856.0,1877759.0,8.7,9.1,-863.0,12968.9
76,Bosnia and Herzegovina,2011,3841224.0,1964678.0,1876546.0,8.3,9.2,-3918.0,13411.8
77,Bosnia and Herzegovina,2012,3837455.0,1962848.0,1874608.0,8.4,9.3,-3620.0,13407.5
78,Bosnia and Herzegovina,2013,3833278.0,,,8.0,9.3,-4734.0,13691.8
79,Bosnia and Herzegovina,2014,3828123.0,,,7.6,9.1,-5577.0,13988.3
80,Bosnia and Herzegovina,2015,3670658.0,,,,,-309352.0,14791.1
81,Bosnia and Herzegovina,2016,3512855.0,,,8.3,10.1,-6254.0,15474.3
82,Bosnia and Herzegovina,2017,3505012.0,,,8.3,10.4,-9433.0,16260.5
83,Bosnia and Herzegovina,2018,3496157.0,,,8.4,10.8,-8277.0,17354.2
84,Bulgaria,2001,8009142.0,4108861.0,3900281.0,8.5,14.0,-280653.0,15905.3
85,Bulgaria,2002,7837161.0,4019484.0,3817677.0,8.5,14.4,-63309.0,17478.3
86,Bulgaria,2003,7775327.0,3988156.0,3787171.0,8.7,14.4,-60359.0,18798.3
87,Bulgaria,2004,7716860.0,3958736.0,3758124.0,9.1,14.3,-56574.0,21093.2
88,Bulgaria,2005,7658972.0,3929605.0,3729367.0,9.3,14.8,-59202.0,24039.9
89,Bulgaria,2006,7601022.0,3900426.0,3700597.0,9.7,14.9,-56698.0,27410.0
90,Bulgaria,2007,7545338.0,3871865.0,3673473.0,10.0,15.0,-54671.0,32464.7
91,Bulgaria,2008,7492561.0,3844450.0,3648111.0,10.4,14.8,-50883.0,37246.7
92,Bulgaria,2009,7444443.0,3819536.0,3624907.0,10.9,14.5,-45353.0,37417.7
93,Bulgaria,2010,7395599.0,3794157.0,3601442.0,10.2,14.9,-52335.0,38284.9
94,Bulgaria,2011,7348328.0,3770481.0,3577847.0,9.6,14.7,-42207.0,41478.9
95,Bulgaria,2012,7305888.0,3749968.0,3555920.0,9.5,15.0,-42672.0,42256.8
96,Bulgaria,2013,7265115.0,3730106.0,3535009.0,9.2,14.4,-38875.0,42050.2
97,Bulgaria,2014,7223938.0,3710458.0,3513480.0,9.4,15.1,-43479.0,43026.0
98,Bulgaria,2015,7177991.0,3688395.0,3489596.0,9.2,15.3,-48414.0,45812.3
99,Bulgaria,2016,7127822.0,3664244.0,3463578.0,9.1,15.1,-51925.0,48773.1
100,Bulgaria,2017,7075947.0,3639753.0,3436194.0,9.0,15.5,-51825.0,52531.3
101,Bulgaria,2018,7025037.0,3615982.0,3409055.0,8.9,15.4,-49995.0,56224.8
102,Bulgaria,2019,6975761.0,3593087.0,3382674.0,8.8,15.5,-48557.0,61558.5
103,Bulgaria,2020,6934015.0,3574335.0,3359681.0,8.5,18.0,-34934.0,61638.9
104,Bulgaria,2021,6877743.0,3547230.0,3330513.0,8.5,21.7,-77611.0,71077.0
105,Bulgaria,2022,6465097.0,,,8.8,18.4,-34774.0,84560.6
106,Croatia,2001,4300450.0,2233888.0,2066562.0,9.5,11.5,10088.0,25931.7
107,Croatia,2002,4305439.0,2236733.0,2068706.0,9.3,11.7,-110.0,28761.2
108,Croatia,2003,4305555.0,2236942.0,2068613.0,9.2,12.2,341.0,31025.7
109,Croatia,2004,4308293.0,2237732.0,2070561.0,9.4,11.5,5136.0,33818.0
110,Croatia,2005,4311674.0,2238567.0,2073107.0,9.9,12.0,1626.0,36845.2
111,Croatia,2006,4313009.0,2237952.0,2075057.0,9.6,11.7,1043.0,40579.3
112,Croatia,2007,4312749.0,2236164.0,2076585.0,9.7,12.1,-1563.0,44335.5
113,Croatia,2008,4310882.0,2234004.0,2076878.0,10.1,12.1,-2171.0,48465.2
114,Croatia,2009,4306322.0,2230613.0,2075709.0,10.4,12.2,-6949.0,45586.2
115,Croatia,2010,4296352.0,2224651.0,2071702.0,10.1,12.1,-12990.0,45763.6
116,Croatia,2011,4282921.0,2217390.0,2065531.0,9.6,11.9,-13873.0,45549.9
117,Croatia,2012,4269062.0,2209666.0,2059396.0,9.8,12.1,-13844.0,44621.2
118,Croatia,2013,4254475.0,2201359.0,2053116.0,9.4,11.8,-15331.0,44437.1
119,Croatia,2014,4236063.0,2191575.0,2044488.0,9.3,12.0,-21493.0,43989.1
120,Croatia,2015,4207993.0,2176981.0,2031012.0,8.9,12.9,-34647.0,45257.9
121,Croatia,2016,4172441.0,2158438.0,2014004.0,9.0,12.4,-36456.0,47338.7
122,Croatia,2017,4129853.0,2136349.0,1993505.0,8.9,12.9,-48720.0,49985.9
123,Croatia,2018,4090870.0,2113684.0,1977186.0,9.0,12.9,-29247.0,52747.2
124,Croatia,2019,4067206.0,2095095.0,1972111.0,8.9,12.7,-18081.0,55644.4
125,Croatia,2020,4047260.0,2078970.0,1968290.0,8.9,14.1,-21810.0,50450.9
126,Croatia,2021,3949330.0,2035719.0,1913612.0,9.2,15.9,-174050.0,58290.9
127,Croatia,2022,3856600.0,,,8.8,14.8,-11411.0,66939.0
128,Cyprus,2001,701544.0,357079.0,344465.0,11.6,6.9,7990.0,11602.9
129,Cyprus,2002,709630.0,361472.0,348158.0,11.1,7.3,8181.0,12082.9
130,Cyprus,2003,718307.0,365957.0,352350.0,11.3,7.2,9173.0,12871.3
131,Cyprus,2004,727980.0,371039.0,356942.0,11.4,7.2,10174.0,13938.0
132,Cyprus,2005,738540.0,376589.0,361952.0,11.2,7.3,10946.0,15039.3
133,Cyprus,2006,750965.0,382917.0,368048.0,11.6,6.8,13903.0,16263.8
134,Cyprus,2007,767125.0,391139.0,375986.0,11.2,7.0,18417.0,17591.0
135,Cyprus,2008,786632.0,401440.0,385192.0,11.7,6.6,20597.0,19009.6
