DATAFLOW,LAST UPDATE,freq,age,agedef,citizen,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,CZ,2014,10201,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,CZ,2015,10685,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,CZ,2016,25494,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,CZ,2017,19222,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,CZ,2018,24054,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,CZ,2019,37307,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,CZ,2020,23423,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,CZ,2021,25160,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DE,2001,281414,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DE,2002,276097,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DE,2003,252963,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DE,2004,249470,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DE,2005,239173,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DE,2006,224185,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DE,2007,230914,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DE,2008,228943,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DE,2009,123805,b
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DE,2010,142589,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DE,2011,172174,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DE,2012,214641,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DE,2013,254772,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DE,2014,323804,e
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DE,2015,535212,e
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DE,2016,388037,b
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DE,2017,345920,be
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DE,2018,326522,be
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DE,2019,318767,be
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DE,2020,253169,be
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DE,2021,317203,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DK,2001,16939,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DK,2002,15616,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DK,2003,13857,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DK,2004,14175,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DK,2005,15060,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DK,2006,16449,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DK,2007,19902,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DK,2008,17840,b
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DK,2009,16624,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DK,2010,16972,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DK,2011,16872,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DK,2012,17495,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DK,2013,19812,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DK,2014,22295,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DK,2015,26358,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DK,2016,25669,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DK,2017,23501,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DK,2018,21507,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DK,2019,19945,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DK,2020,18014,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,DK,2021,21351,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,EE,2004,331,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,EE,2005,369,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,EE,2006,625,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,EE,2007,822,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,EE,2008,771,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,EE,2009,859,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,EE,2010,489,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,EE,2011,724,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,EE,2012,494,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,EE,2013,718,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,EE,2014,506,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,EE,2015,2823,b
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,EE,2016,2937,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,EE,2017,3297,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,EE,2018,3601,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,EE,2019,4119,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,EE,2020,3727,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,EE,2021,4702,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,EL,2008,19970,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,EL,2009,16750,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,EL,2010,16250,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,EL,2011,15286,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,EL,2012,14805,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,EL,2013,14490,
