DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EL,2007,11048473,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EL,2008,11077841,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EL,2009,11107017,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EL,2010,11121341,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EL,2011,11104899,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EL,2012,11045011,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EL,2013,10965211,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EL,2014,10892413,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EL,2015,10820883,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EL,2016,10775971,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EL,2017,10754679,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EL,2018,10732882,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EL,2019,10721582,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EL,2020,10698599,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EL,2021,10569207,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EL,2022,10426919,ep
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,ES,2001,40850412,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,ES,2002,41431558,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,ES,2003,42187645,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,ES,2004,42921895,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,ES,2005,43653155,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,ES,2006,44397319,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,ES,2007,45226803,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,ES,2008,45954106,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,ES,2009,46362946,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,ES,2010,46576897,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,ES,2011,46742697,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,ES,2012,46773055,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,ES,2013,46620045,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,ES,2014,46480882,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,ES,2015,46444832,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,ES,2016,46484062,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,ES,2017,46593236,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,ES,2018,46797754,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,ES,2019,47134837,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,ES,2020,47365655,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,ES,2021,47415794,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,ES,2022,47778340,bp
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,FI,2001,5188008,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,FI,2002,5200598,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,FI,2003,5213014,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,FI,2004,5228172,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,FI,2005,5246096,
